hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr
十,ten,ㄕˊ,shí,"{'character': '十', 'once': ['一', '丨'], 'radical': ['十'], 'graphical': ['一', '丨']}","ten, tenth; complete; perfect",十字路口 十分 十足,ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄕˊㄈㄣ   ㄕˊㄗㄨˊ,shízìlùkǒu shífēn shízú,,10,163,46,1,"['一 [one]丨\t', '十', '一\t丨']"
人,person,ㄖㄣˊ,rén,"{'character': '人', 'once': ['㇒'], 'radical': ['人'], 'graphical': ['人']}",man; people; mankind; someone else,家人 工人 別人,ㄐㄧㄚ ㄖㄣˊ  ㄍㄨㄥ ㄖㄣˊ  ㄅㄧㄝˊㄖㄣ˙,jiārén gōngrén biéren,,736,9,1,1,"['㇒ [eyedropper]\t', '人', '人']"
又,again,ㄧㄡ`,yòu,"{'character': '又', 'once': ['㇇', '㇏'], 'radical': ['又'], 'graphical': ['㇇', '㇏']}","and, also, again, in addition",,,,,589,139,11,1,"['㇇㇏\t', '又', '㇇\t㇏']"
月,flesh/moon,ㄩㄝ`,yuè,"{'character': '月', 'once': ['冂', '二'], 'radical': ['月'], 'graphical': ['冂', '二']}",moon; month; KangXi radical 74,月亮 月餅 月份,ㄩㄝ`ㄌㄧㄤ˙  ㄩㄝ`ㄅㄧㄥˇ  ㄩㄝ`ㄈㄣ`,yuèliang yuèbǐng yuèfèn,,13,214,102,1,"['冂二 [two]\t', '月', '冂\t二']"
肉,meat,ㄖㄡ`,ròu,"{'character': '肉', 'once': ['仌', '冂'], 'radical': ['肉'], 'graphical': ['仌', '冂']}",flesh; meat; KangXi radical 130,肌肉 烤肉 肉麻,ㄐㄧ ㄖㄡ`  ㄎㄠˇㄖㄡ`  ㄖㄡ`ㄇㄚˊ,jīròu kǎoròu ròumá,,782,900,37,1,"['仌冂\t', '肉', '仌\t冂']"
有,possess,ㄧㄡˇ,yǒu,"{'character': '有', 'once': ['𠂇', '月'], 'radical': ['𠂇', '月'], 'graphical': ['𠂇', '冂', '二']}","have, own, possess; exist",有趣 有時候 有用,ㄧㄡˇㄑㄩ`  ㄧㄡˇㄕˊㄏㄡ˙  ㄧㄡˇㄩㄥ`,yǒuqù yǒushíhou yǒuyòng,,75,6,36,2,"[""𠂇 [by one's side]月 [flesh/moon]\t"", '𠂇\t月', '𠂇\t冂\t二']"
大,large,ㄉㄚ`,dà,"{'character': '大', 'once': ['人', '一'], 'radical': ['大'], 'graphical': ['人', '一']}","big, great, vast, large, high",大學 大家 大人,ㄉㄚ`ㄒㄩㄝˊ  ㄉㄚ`ㄐㄧㄚ   ㄉㄚ`ㄖㄣ˙,Dàxué dàjiā dàren,,106,7,18,1,"['人 [person]一 [one]\t', '大', '人\t一']"
土,dirt,ㄊㄨˇ,tǔ,"{'character': '土', 'once': ['十', '一'], 'radical': ['土'], 'graphical': ['一', '丨', '一']}","soil, earth; items made of earth",土地 本土 領土,ㄊㄨˇㄉㄧ`  ㄅㄣˇㄊㄨˇ  ㄌㄧㄥˇㄊㄨˇ,tǔdì běntǔ lǐngtǔ,,147,674,8,1,"['十 [ten]一 [one]\t', '土', '一\t丨\t一']"
才,genius,ㄘㄞˊ,cái,"{'character': '才', 'once': ['𠂇', '㇒'], 'radical': ['𠂇', '㇒'], 'graphical': ['𠂇', '㇒']}","talent, ability; just, only",剛才 才能 口才,ㄍㄤ ㄘㄞˊ  ㄘㄞˊㄋㄥˊ  ㄎㄡˇㄘㄞˊ,gāngcái cáinéng kǒucái,,578,172,53,1,"[""𠂇 [by one's side]㇒ [eyedropper]\t"", '𠂇\t㇒', '𠂇\t㇒']"
在,at,ㄗㄞ`,zài,"{'character': '在', 'once': ['𠂇', 'No glyph available'], 'radical': ['𠂇', '亻', '土'], 'graphical': ['𠂇', '㇒', '丨', '一', '丨', '一']}","be at, in, on; consist in, rest",現在 正在 存在,ㄒㄧㄢ`ㄗㄞ`  ㄓㄥ`ㄗㄞ`  ㄘㄨㄣˊㄗㄞ`,xiànzài zhèngzài cúnzài,,581,8,35,2,"[""𠂇 [by one's side]\t"", '𠂇\t亻\t土', '𠂇\t㇒\t丨\t一\t丨\t一']"
了,(-ed),ㄌㄜ˙,le,"{'character': '了', 'once': ['㇇', '亅'], 'radical': ['㇇', '亅'], 'graphical': ['㇇', '亅']}",to finish; particle of completed action,了解 怎麼了 為了,ㄌㄧㄠˇㄐㄧㄝˇ  ㄗㄣˇㄇㄜ˙ㄌㄜ˙  ㄨㄟ`ㄌㄜ˙,liǎojiě zěnmele wèile,,95,10,32,1,"['㇇亅\t', '㇇\t亅', '㇇\t亅']"
中,middle,ㄓㄨㄥ,zhōng,"{'character': '中', 'once': ['口', '丨'], 'radical': ['口', '丨'], 'graphical': ['口', '丨']}","central; center, middle; in the midst of; hit (target); attain",中國 中午 中學,ㄓㄨㄥ ㄍㄨㄛˊ  ㄓㄨㄥ ㄨˇ  ㄓㄨㄥ ㄒㄩㄝˊ,Zhōngguó zhōngwǔ zhōngxué,,36,11,45,1,"['口 [mouth]丨\t', '口\t丨', '口\t丨']"
至,until,ㄓ`,zhì,"{'character': '至', 'once': ['𠫔', '土'], 'radical': ['至'], 'graphical': ['一', '㇛', '丶', '一', '丨', '一']}","reach, arrive; extremely, very",甚至 至少 至於,ㄕㄣ`ㄓ`  ㄓ`ㄕㄠˇ  ㄓ`ㄩˊ,shènzhì zhìshǎo zhìyú,,626,247,109,1,"['𠫔土 [dirt]\t', '至', '一\t㇛\t丶\t一\t丨\t一']"
刀,sword,ㄉㄠ,dāo,"{'character': '刀', 'once': ['㇆', '丿'], 'radical': ['刀'], 'graphical': ['㇆', '丿']}",knife; old coin; measure,刀子 剪刀 開刀,ㄉㄠ ㄗ˙  ㄐㄧㄢˇㄉㄠ   ㄎㄞ ㄉㄠ ,dāozi jiǎndāo kāidāo,,79,940,19,1,"['㇆ [clothes hanger]丿\t', '刀', '㇆\t丿']"
到,arrive,ㄉㄠ`,dào,"{'character': '到', 'once': ['至', '刂'], 'radical': ['至', '刂'], 'graphical': ['一', '㇛', '丶', '一', '丨', '一', '亅', '丨']}","go to, arrive, been to",遲到 到處 到底,ㄔˊㄉㄠ`  ㄉㄠ`ㄔㄨ`  ㄉㄠ`ㄉㄧˇ,chídào dàochù dàodǐ,,628,12,75,2,"['至 [until]刂 [saber]\t', '至\t刂', '一\t㇛\t丶\t一\t丨\t一\t亅\t丨']"
八,eight,ㄅㄚ,bā,"{'character': '八', 'once': ['㇒'], 'radical': ['八'], 'graphical': ['八']}","eight; all around, all sides",八卦 八字,ㄅㄚ ㄍㄨㄚ`  ㄅㄚ ㄗ`,bāguà bāzì,,8,419,42,1,"['㇒ [eyedropper]\t', '八', '八']"
欠,lack/yawn,ㄑㄧㄢ`,qiàn,"{'character': '欠', 'once': ['⺈', '人'], 'radical': ['欠'], 'graphical': ['⺈', '人']}","owe, lack, be deficient; KangXi radical number 76",,,,,439,2056,268,1,"['⺈人 [person]\t', '欠', '⺈\t人']"
目,eye,ㄇㄨ`,mù,"{'character': '目', 'once': ['口', '二'], 'radical': ['目'], 'graphical': ['口', '二']}","eye; look, see; division, topic",節目 目的 目前,ㄐㄧㄝˊㄇㄨ`  ㄇㄨ`ㄉㄧ`  ㄇㄨ`ㄑㄧㄢˊ,jiémù mùdì mùqián,,15,249,24,1,"['口 [mouth]二 [two]\t', '目', '口\t二']"
次,next,ㄘ`,cì,"{'character': '次', 'once': ['冫', '欠'], 'radical': ['冫', '欠'], 'graphical': ['丶', '㇀', '⺈', '人']}","order, sequence; next",其次 次數 場次,ㄑㄧˊㄘ`  ㄘ`ㄕㄨ`  ㄔㄤˇㄘ`,qícì cìshù chǎngcì,,443,152,250,2,"['冫 [ice]欠 [lack/yawn]\t', '冫\t欠', '丶\t㇀\t⺈\t人']"
貝,shellfish,ㄅㄟ`,bèi,"{'character': '貝', 'once': ['目', '八'], 'radical': ['貝'], 'graphical': ['口', '二', '八']}","sea shell; money, currency",寶貝 貝殼 分貝,ㄅㄠˇㄅㄟ`  ㄅㄟ`ㄎㄜˊ  ㄈㄣ ㄅㄟ`,bǎobèi bèiké fēnbèi,贝,51,1228,85,1,"['目 [eye]八 [eight]\t', '貝', '口\t二\t八']"
資,assets,ㄗ,zī,"{'character': '資', 'once': ['次', '貝'], 'radical': ['冫', '欠', '貝'], 'graphical': ['丶', '㇀', '⺈', '人', '口', '二', '八']}",property; wealth; capital,投資 資料 資源,ㄊㄡˊㄗ   ㄗ ㄌㄧㄠ`  ㄗ ㄩㄢˊ,tóuzī zīliào Zīyuán,资,444,13,334,3,"['次 [next]貝 [shellfish]\t', '冫\t欠\t貝', '丶\t㇀\t⺈\t人\t口\t二\t八']"
弓,bow,ㄍㄨㄥ,gōng,"{'character': '弓', 'once': ['No glyph available', '㇉'], 'radical': ['弓'], 'graphical': ['匚', '㇉']}","bow; curved, arched; KangXi radical number 57",,,,,941,2472,266,1,"['㇉\t', '弓', '匚\t㇉']"
兀,,ㄨ`,wù,"{'character': '兀', 'once': ['一', '儿'], 'radical': ['一', '儿'], 'graphical': ['一', '丿', '乚']}",to cut off the feet,突兀,ㄊㄨ ㄨ`,tūwù,,,3743,1468,3,"['一 [one]儿 [human legs / child]\t', '一\t儿', '一\t丿\t乚']"
女,woman,undefinedˇ,nǚ,"{'character': '女', 'once': ['㇛', '丆'], 'radical': ['女'], 'graphical': ['㇛', '一', '丿']}","woman, girl; feminine; rad. 38",女兒 女生 女人,undefinedˇㄦˊ  undefinedˇㄕㄥ   undefinedˇㄖㄣˊ,nǚér nǚshēng nǚrén,,96,143,26,1,"['㇛丆\t', '女', '㇛\t一\t丿']"
