hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr 
樹,timber,ㄕㄨ`,shù,"{'character': '樹', 'once': ['木', '尌'], 'radical': ['木', '十', '豆', '寸'], 'graphical': ['一', '丨', '八', '一', '丨', '一', '口', '丷', '一', '𠂇', '亅', '丶']}","tree; plant; set up, establish",樹木 樹林 果樹,ㄕㄨ`ㄇㄨ`  ㄕㄨ`ㄌㄧㄣˊ  ㄍㄨㄛˇㄕㄨ`,shùmù Shùlín guǒshù,树,1074,923,742,3,"['木 [tree]尌 [drum stand]\t', '木\t十\t豆\t寸', '一\t丨\t八\t一\t丨\t一\t口\t丷\t一\t𠂇\t亅\t丶']"
律,law,undefined`,lǜ,"{'character': '律', 'once': ['彳', '聿'], 'radical': ['彳', '聿'], 'graphical': ['㇒', '丨', '匚', '一', '丨', '二', '丨']}","statute, principle, regulation",法律 律師 規律,ㄈㄚˇundefined`  undefined`ㄕ   ㄍㄨㄟ undefined`,fǎlǜ lǜshī guīlǜ,,700,924,595,2,"['彳 [queue rail]聿 [brush]\t', '彳\t聿', '㇒\t丨\t匚\t一\t丨\t二\t丨']"
鐵,iron,ㄊㄧㄝˇ,tiě,"{'character': '鐵', 'once': ['金', 'No glyph available'], 'radical': ['金', '土', '戈', '口', '王'], 'graphical': ['人', '一', '一', '丨', '一', '丷', '一', '丨', '一', '戈', '口', '一', '一', '丨', '一']}","iron; strong, solid, firm",地鐵 鐵路 鋼鐵,ㄉㄧ`ㄊㄧㄝˇ  ㄊㄧㄝˇㄌㄨ`  ㄍㄤ ㄊㄧㄝˇ,dìtiě tiělù gāngtiě,铁,339,925,844,3,"['金 [gold]\t', '金\t土\t戈\t口\t王', '人\t一\t一\t丨\t一\t丷\t一\t丨\t一\t戈\t口\t一\t一\t丨\t一']"
榮,glory,ㄖㄨㄥˊ,róng,"{'character': '榮', 'once': ['No glyph available', '木'], 'radical': ['炏', '冖', '木'], 'graphical': ['炏', '冖', '一', '丨', '八']}","glory, honor; flourish, prosper",繁榮 光榮 榮幸,ㄈㄢˊㄖㄨㄥˊ  ㄍㄨㄤ ㄖㄨㄥˊ  ㄖㄨㄥˊㄒㄧㄥ`,fánróng guāngróng róngxìng,荣,802,926,1372,2,"['木 [tree]\t', '炏\t冖\t木', '炏\t冖\t一\t丨\t八']"
昨,yesterday,ㄗㄨㄛˊ,zuó,"{'character': '昨', 'once': ['日', '乍'], 'radical': ['日', '丿', '一', '丨', '二'], 'graphical': ['口', '一', '丿', '一', '丨', '二']}","yesterday; in former times, past",昨天,ㄗㄨㄛˊㄊㄧㄢ ,zuótiān,,867,927,1753,2,"['日 [day]乍 [for the first time]\t', '日\t丿\t一\t丨\t二', '口\t一\t丿\t一\t丨\t二']"
采,pluck,ㄘㄞˇ,cǎi,"{'character': '采', 'once': ['爫', '木'], 'radical': ['爫', '木'], 'graphical': ['爫', '一', '丨', '八']}","collect, gather; pick, pluck",,,,,614,1741,565,2,"['爫木 [tree]\t', '爫\t木', '爫\t一\t丨\t八']"
彩,hue,ㄘㄞˇ,cǎi,"{'character': '彩', 'once': ['采', '彡'], 'radical': ['爫', '木', '彡'], 'graphical': ['爫', '一', '丨', '八', '彡']}","hue, color; variegated colors",彩色 精彩 色彩,ㄘㄞˇㄙㄜ`  ㄐㄧㄥ ㄘㄞˇ  ㄙㄜ`ㄘㄞˇ,cǎisè jīngcǎi sècǎi,,1264,929,1207,3,"['采 [pluck]彡 [rooster]\t', '爫\t木\t彡', '爫\t一\t丨\t八\t彡']"
歸,come back,ㄍㄨㄟ,guī,"{'character': '歸', 'once': ['No glyph available', '帚'], 'radical': ['㠯', '丶', '止', '彐', '冖', '巾'], 'graphical': ['㠯', '丶', '丨', '一', '丨', '一', '㇕', '二', '冖', '冂', '丨']}","return; return to, revert to",歸還 歸納,ㄍㄨㄟ ㄏㄨㄢˊ  ㄍㄨㄟ ㄋㄚ`,guīhuán guīnà,归,2244,930,1134,2,"['帚 [scarecrow]\t', '㠯\t丶\t止\t彐\t冖\t巾', '㠯\t丶\t丨\t一\t丨\t一\t㇕\t二\t冖\t冂\t丨']"
罪,guilt,ㄗㄨㄟ`,zuì,"{'character': '罪', 'once': ['罒', '非'], 'radical': ['罒', '非'], 'graphical': ['口', '丨', '非']}","crime, sin, vice; evil; hardship",得罪 犯罪 罪惡,ㄉㄜˊㄗㄨㄟ`  ㄈㄢ`ㄗㄨㄟ`  ㄗㄨㄟ`ㄜ`,dézuì fànzuì zuìè,,1214,932,1140,2,"['罒 [net]非 [non-/jail cell]\t', '罒\t非', '口\t丨\t非']"
皆,all,ㄐㄧㄝ,jiē,"{'character': '皆', 'once': ['比', '白'], 'radical': ['比', '白'], 'graphical': ['比', '口', '一', '㇒']}","all, every, everybody",,,,,425,933,1664,3,"['比 [compare]白 [white/dove]\t', '比\t白', '比\t口\t一\t㇒']"
葉,leaf,ㄧㄝ`,yè,"{'character': '葉', 'once': ['艹', '枼'], 'radical': ['艹', '㇗', '廿', '木'], 'graphical': ['艹', '㇗', '卄', '一', '一', '丨', '八']}","leaf, petal; page of book; period",茶葉 葉子 中葉,ㄔㄚˊㄧㄝ`  ㄧㄝ`ㄗ˙  ㄓㄨㄥ ㄧㄝ`,cháyè yèzi zhōngyè,叶,216,934,,,"['艹 [flower]枼 [family tree]\t', '艹\t㇗\t廿\t木', '艹\t㇗\t卄\t一\t一\t丨\t八']"
售,vend,ㄕㄡ`,shòu,"{'character': '售', 'once': ['隹', '口'], 'radical': ['隹', '口'], 'graphical': ['㇒', '丨', '一', '二', '丨', '一', '丶', '口']}",sell,出售 零售 銷售,ㄔㄨ ㄕㄡ`  ㄌㄧㄥˊㄕㄡ`  ㄒㄧㄠ ㄕㄡ`,chūshòu língshòu xiāoshòu,,506,935,1344,2,"['隹 [turkey]口 [mouth]\t', '隹\t口', '㇒\t丨\t一\t二\t丨\t一\t丶\t口']"
彈,bullet,ㄉㄢ`,dàn,"{'character': '彈', 'once': ['弓', '單'], 'radical': ['弓', '吅', '冂', '二', '丨', '十'], 'graphical': ['匚', '㇉', '吅', '冂', '二', '丨', '一', '丨']}","pellet, bullet, shot, shell",飛彈 彈性 原子彈,ㄈㄟ ㄉㄢ`  ㄊㄢˊㄒㄧㄥ`  ㄩㄢˊㄗˇㄉㄢ`,fēidàn tánxìng yuánzǐdàn,弹,945,936,1236,2,"['弓 [bow]單 [list]\t', '弓\t吅\t冂\t二\t丨\t十', '匚\t㇉\t吅\t冂\t二\t丨\t一\t丨']"
衛,defend,ㄨㄟ`,wèi,"{'character': '衛', 'once': ['行', '韋'], 'radical': ['行', '韋'], 'graphical': ['㇒', '丨', '二', '亅', '㇆', '丿', '一', '口', '一', '丨', '㇗', '丨']}","guard, protect, defend",保衛 衛生 衛生紙,ㄅㄠˇㄨㄟ`  ㄨㄟ`ㄕㄥ   ㄨㄟ`ㄕㄥ ㄓˇ,bǎowèi wèishēng wèishēngzhǐ,卫,1224,937,1033,1,"['行 [line of business]韋 [locket]\t', '行\t韋', '㇒\t丨\t二\t亅\t㇆\t丿\t一\t口\t一\t丨\t㇗\t丨']"
施,execute,ㄕ,shī,"{'character': '施', 'once': ['方', '㐌'], 'radical': ['方', '丿', '一', '乚', '㇆', '丨'], 'graphical': ['一', '丶', '丿', '㇆', '丿', '一', '乚', '㇆', '丨']}","grant, bestow; give; act; name",措施 施工 實施,ㄘㄨㄛ`ㄕ   ㄕ ㄍㄨㄥ   ㄕˊㄕ ,cuòshī shīgōng shíshī,,812,938,904,2,"['方 [direction]㐌\t', '方\t丿\t一\t乚\t㇆\t丨', '一\t丶\t丿\t㇆\t丿\t一\t乚\t㇆\t丨']"
銘,inscription,ㄇㄧㄥˊ,míng,"{'character': '銘', 'once': ['金', '名'], 'radical': ['金', '夕', '口'], 'graphical': ['人', '一', '一', '丨', '一', '丷', '夕', '口']}","inscribe, engrave; unforgettably",座右銘,ㄗㄨㄛ`ㄧㄡ`ㄇㄧㄥˊ,zuòyòumíng,铭,266,939,3010,3,"['金 [gold]名 [name]\t', '金\t夕\t口', '人\t一\t一\t丨\t一\t丷\t夕\t口']"
塊,lump,ㄎㄨㄞ`,kuài,"{'character': '塊', 'once': ['土', '鬼'], 'radical': ['土', '鬼'], 'graphical': ['一', '丨', '一', '冂', '二', '丨', '丶', '乚', '㇛', '丶']}","piece, lump; dollar",冰塊 一塊 一塊兒,ㄅㄧㄥ ㄎㄨㄞ`  ㄧ ㄎㄨㄞ`  ㄧ ㄎㄨㄞ`ㄦ˙,bīngkuài yīkuài yīkuàir,块,1443,941,930,2,"['土 [soil]鬼 [ghost]\t', '土\t鬼', '一\t丨\t一\t冂\t二\t丨\t丶\t乚\t㇛\t丶']"
漢,Han,ㄏㄢ`,hàn,"{'character': '漢', 'once': ['氵', 'No glyph available'], 'radical': ['氵', '廿', '口', '丨', '人', '二'], 'graphical': ['⺀', '㇀', '卄', '一', '口', '丨', '人', '二']}","the Chinese people, Chinese language",漢語 漢字 漢堡,ㄏㄢ`ㄩˇ  ㄏㄢ`ㄗ`  ㄏㄢ`ㄅㄠˇ,Hànyǔ hànzì Hànbǎo,汉,1178,942,911,2,"['氵 [water]\t', '氵\t廿\t口\t丨\t人\t二', '⺀\t㇀\t卄\t一\t口\t丨\t人\t二']"
欣,elated,ㄒㄧㄣ,xīn,"{'character': '欣', 'once': ['斤', '欠'], 'radical': ['斤', '欠'], 'graphical': ['丿', '㇒', '一', '丨', '⺈', '人']}","happy, joyous, delighted",欣賞,ㄒㄧㄣ ㄕㄤˇ,xīnshǎng,,2128,943,1490,2,"['斤 [tomahawk]欠 [lack/yawn]\t', '斤\t欠', '丿\t㇒\t一\t丨\t⺈\t人']"
賞,prize,ㄕㄤˇ,shǎng,"{'character': '賞', 'once': ['No glyph available', '貝'], 'radical': ['⺌', '冖', '口', '貝'], 'graphical': ['丨', '丷', '冖', '口', '口', '二', '八']}","reward, grant, bestow; appreciate",欣賞 獎賞,ㄒㄧㄣ ㄕㄤˇ  ㄐㄧㄤˇㄕㄤˇ,xīnshǎng jiǎngshǎng,赏,1894,945,1483,3,"['貝 [shellfish]\t', '⺌\t冖\t口\t貝', '丨\t丷\t冖\t口\t口\t二\t八']"
載,laden,ㄗㄞ`,zài,"{'character': '載', 'once': ['𢦏', '車'], 'radical': ['土', '戈', '車'], 'graphical': ['一', '丨', '一', '戈', '二', '丨', '口', '一']}","load; carry; transport, convey",記載,ㄐㄧ`ㄗㄞˇ,jìzǎi,载,338,946,1401,3,"['𢦏車 [car]\t', '土\t戈\t車', '一\t丨\t一\t戈\t二\t丨\t口\t一']"
險,perilous,ㄒㄧㄢˇ,xiǎn,"{'character': '險', 'once': ['阝', '僉'], 'radical': ['阝', '人', '一', 'No glyph available'], 'graphical': ['丨', '㇌', '人', '一', '口', '人']}","narrow pass, strategic point, dangerous",危險 保險 風險,ㄨㄟ ㄒㄧㄢˇ  ㄅㄠˇㄒㄧㄢˇ  ㄈㄥ ㄒㄧㄢˇ,wēixiǎn bǎoxiǎn fēngxiǎn,险,984,947,1232,4,"['阝 [city walls]僉 [debate]\t', '阝\t人\t一\tNo glyph available', '丨\t㇌\t人\t一\t口\t人']"
播,broadcast,ㄅㄛ,bō,"{'character': '播', 'once': ['扌', '番'], 'radical': ['扌', '釆', '田'], 'graphical': ['亅', '二', '㇒', '一', '丨', '八', '丷', '冂', '一', '丨', '一']}","sow, spread; broadcast; cast away, reject",廣播 傳播 轉播,ㄍㄨㄤˇㄅㄛ   ㄔㄨㄢˊㄅㄛ   ㄓㄨㄢˇㄅㄛ ,guǎngbō chuánbō zhuǎnbō,,1380,948,1271,3,"['扌 [finger]番 [try]\t', '扌\t釆\t田', '亅\t二\t㇒\t一\t丨\t八\t丷\t冂\t一\t丨\t一']"
童,juvenile,ㄊㄨㄥˊ,tóng,"{'character': '童', 'once': ['立', '里'], 'radical': ['立', '里'], 'graphical': ['一', '丶', '丷', '一', '冂', '一', '丨', '一', '一', '丨', '一']}","child, boy, servant boy; virgin",兒童,ㄦˊㄊㄨㄥˊ,értóng,,414,1170,1033,3,"['立 [standing up]里 [li/computer]\t', '立\t里', '一\t丶\t丷\t一\t冂\t一\t丨\t一\t一\t丨\t一']"
鐘,bell,ㄓㄨㄥ,zhōng,"{'character': '鐘', 'once': ['金', '童'], 'radical': ['金', '立', '里'], 'graphical': ['人', '一', '一', '丨', '一', '丷', '一', '丶', '丷', '一', '冂', '一', '丨', '一', '一', '丨', '一']}",clock; bell,點鐘 分鐘 鐘頭,ㄉㄧㄢˇㄓㄨㄥ   ㄈㄣ ㄓㄨㄥ   ㄓㄨㄥ ㄊㄡˊ,diǎnzhōng fēnzhōng zhōngtóu,钟,415,950,1169,3,"['金 [gold]童 [juvenile]\t', '金\t立\t里', '人\t一\t一\t丨\t一\t丷\t一\t丶\t丷\t一\t冂\t一\t丨\t一\t一\t丨\t一']"
寄,mail,ㄐㄧ`,jì,"{'character': '寄', 'once': ['宀', '奇'], 'radical': ['宀', '大', '一', '亅', '口'], 'graphical': ['冖', '丶', '人', '一', '一', '亅', '口']}","send, transmit, mail; rely on",,,,,188,951,1675,4,"['宀 [house]奇 [strange]\t', '宀\t大\t一\t亅\t口', '冖\t丶\t人\t一\t一\t亅\t口']"
弄,play with,ㄋㄨㄥ`,nòng,"{'character': '弄', 'once': ['王', '艹'], 'radical': ['王', '艹'], 'graphical': ['一', '一', '丨', '一', '艹']}","do, play or fiddle with; alley",弄錯 玩弄,ㄋㄨㄥ`ㄘㄨㄛ`  ㄨㄢˊㄋㄨㄥ`,nòngcuò wánnòng,,574,952,1327,2,"['王 [king]艹 [flower]\t', '王\t艹', '一\t一\t丨\t一\t艹']"
構,frame,ㄍㄡ`,gòu,"{'character': '構', 'once': ['木', '冓'], 'radical': ['木', 'No glyph available', '二', '一', '冂', '土'], 'graphical': ['一', '丨', '八', '丨', '二', '一', '冂', '一', '丨', '一']}","frame, building, structure",構成 構造 機構,ㄍㄡ`ㄔㄥˊ  ㄍㄡ`ㄗㄠ`  ㄐㄧ ㄍㄡ`,gòuchéng gòuzào jīgòu,构,1321,954,591,3,"['木 [tree]冓 [sieve]\t', '木\tNo glyph available\t二\t一\t冂\t土', '一\t丨\t八\t丨\t二\t一\t冂\t一\t丨\t一']"
囉,,ㄌㄨㄛ,luō,"{'character': '囉', 'once': ['口', '羅'], 'radical': ['口', '罒', '糹', '隹'], 'graphical': ['口', '口', '丨', '㇛', '丶', '丶', '㇒', '丨', '一', '二', '丨', '一', '丶']}","exclamatory final particle, nag",囉嗦,ㄌㄨㄛ ㄙㄨㄛ˙,luōsuo,啰,,955,3533,3,"['口 [mouth]羅 [silk gauze]\t', '口\t罒\t糹\t隹', '口\t口\t丨\t㇛\t丶\t丶\t㇒\t丨\t一\t二\t丨\t一\t丶']"
磁,magnetism,ㄘˊ,cí,"{'character': '磁', 'once': ['石', '兹'], 'radical': ['石', '丷', '一', '𢆶'], 'graphical': ['一', '丿', '口', '丷', '一', '𢆶']}",magnetic; magnetism; porcelain,磁帶,ㄘˊㄉㄞ`,cídài,,2351,956,1502,3,"['石 [stone]兹 [mysterious]\t', '石\t丷\t一\t𢆶', '一\t丿\t口\t丷\t一\t𢆶']"
螢,firefly,ㄧㄥˊ,yíng,"{'character': '螢', 'once': ['No glyph available', '虫'], 'radical': ['炏', '冖', '虫'], 'graphical': ['炏', '冖', '口', '丨', '𠂉']}","glow-worm, luminous insect",,,,萤,2071,957,3430,2,"['虫 [insect]\t', '炏\t冖\t虫', '炏\t冖\t口\t丨\t𠂉']"
偉,great,ㄨㄟˇ,wěi,"{'character': '偉', 'once': ['亻', '韋'], 'radical': ['亻', '韋'], 'graphical': ['㇒', '丨', '㇆', '丿', '一', '口', '一', '丨', '㇗', '丨']}","great, robust; extraordinary",偉大 雄偉 宏偉,ㄨㄟˇㄉㄚ`  ㄒㄩㄥˊㄨㄟˇ  ㄏㄨㄥˊㄨㄟˇ,wěidà xióngwěi hóngwěi,伟,1223,958,1361,2,"['亻 [Jesus]韋 [locket]\t', '亻\t韋', '㇒\t丨\t㇆\t丿\t一\t口\t一\t丨\t㇗\t丨']"
薦,recommend,ㄐㄧㄢ`,jiàn,"{'character': '薦', 'once': ['艹', '廌'], 'radical': ['艹', '广', '覀', 'No glyph available', '灬'], 'graphical': ['艹', '厂', '丶', '覀', '己', '灬']}","offer, present; recommend",推薦,ㄊㄨㄟ ㄐㄧㄢ`,tuījiàn,荐,2884,959,,,"['艹 [flower]廌\t', '艹\t广\t覀\tNo glyph available\t灬', '艹\t厂\t丶\t覀\t己\t灬']"
洋,ocean,ㄧㄤˊ,yáng,"{'character': '洋', 'once': ['氵', '羊'], 'radical': ['氵', '羊'], 'graphical': ['⺀', '㇀', '一', '二', '丨', '丷']}","ocean, sea; foreign; western",海洋 大洋洲 西洋,ㄏㄞˇㄧㄤˊ  ㄉㄚ`ㄧㄤˊㄓㄡ   ㄒㄧ ㄧㄤˊ,hǎiyáng Dàyángzhōu xīyáng,,497,960,889,2,"['氵 [water]羊 [sheep]\t', '氵\t羊', '⺀\t㇀\t一\t二\t丨\t丷']"
嘿,Hey!,ㄏㄟ,hēi,"{'character': '嘿', 'once': ['口', '黑'], 'radical': ['口', '黑'], 'graphical': ['口', '口', '丨', '丷', '一', '丨', '一', '灬']}","be silent, be quiet",,,,,1536,961,2317,2,"['口 [mouth]黑 [black]\t', '口\t黑', '口\t口\t丨\t丷\t一\t丨\t一\t灬']"
啟,enlighten,ㄑㄧˇ,qǐ,"{'character': '啟', 'once': ['启', '⺙'], 'radical': ['户', '口', '⺙'], 'graphical': ['丨', '匚', '丶', '口', '丿', '一', '乂']}",open; begin,開啟 啟發 啟示,ㄎㄞ ㄑㄧˇ  ㄑㄧˇㄈㄚ   ㄑㄧˇㄕ`,kāiqǐ qǐfā qǐshì,启,2097,962,,,"['启⺙ [taskmaster]\t', '户\t口\t⺙', '丨\t匚\t丶\t口\t丿\t一\t乂']"
梅,small plum,ㄇㄟˊ,méi,"{'character': '梅', 'once': ['木', '每'], 'radical': ['木', '丿', '一', '母'], 'graphical': ['一', '丨', '八', '丿', '一', '㇗', '㇆', '⺀', '一']}",plums; prunes; surname,梅花,ㄇㄟˊㄏㄨㄚ ,méihuā,,432,963,1437,4,"['木 [tree]每 [every]\t', '木\t丿\t一\t母', '一\t丨\t八\t丿\t一\t㇗\t㇆\t⺀\t一']"
策,strategy,ㄘㄜ`,cè,"{'character': '策', 'once': ['⺮', '朿'], 'radical': ['⺮', '木', '冂'], 'graphical': ['⺮', '一', '丨', '八', '冂']}","scheme, plan; to whip; urge",策略 對策 政策,ㄘㄜ`undefined`  ㄉㄨㄟ`ㄘㄜ`  ㄓㄥ`ㄘㄜ`,cèlüè duìcè zhèngcè,,735,964,935,2,"['⺮ [bamboo]朿 [thorn]\t', '⺮\t木\t冂', '⺮\t一\t丨\t八\t冂']"
嘻,giggling,ㄒㄧ,xī,"{'character': '嘻', 'once': ['口', '喜'], 'radical': ['口', '士', '口', '丷', '一', '口'], 'graphical': ['口', '一', '丨', '一', '口', '丷', '一', '口']}","mirthful, happy; interjection",,,,,2416,965,2300,3,"['口 [mouth]喜 [joyful]\t', '口\t士\t口\t丷\t一\t口', '口\t一\t丨\t一\t口\t丷\t一\t口']"
燈,lamp,ㄉㄥ,dēng,"{'character': '燈', 'once': ['火', '登'], 'radical': ['火', '癶', '豆'], 'graphical': ['丿', '丶', '冫', '癶', '一', '口', '丷', '一']}","lantern, lamp",紅綠燈 燈光 電燈,ㄏㄨㄥˊundefined`ㄉㄥ   ㄉㄥ ㄍㄨㄤ   ㄉㄧㄢ`ㄉㄥ ,hónglǜdēng dēngguāng diàndēng,灯,1258,966,1102,2,"['火 [fire]登 [ascend]\t', '火\t癶\t豆', '丿\t丶\t冫\t癶\t一\t口\t丷\t一']"
檢,examine,ㄐㄧㄢˇ,jiǎn,"{'character': '檢', 'once': ['木', '僉'], 'radical': ['木', '人', '一', 'No glyph available'], 'graphical': ['一', '丨', '八', '人', '一', '口', '人']}",check; examine,檢查 檢驗 檢討,ㄐㄧㄢˇㄔㄚˊ  ㄐㄧㄢˇㄧㄢ`  ㄐㄧㄢˇㄊㄠˇ,jiǎnchá jiǎnyàn jiǎntǎo,检,787,968,1077,2,"['木 [tree]僉 [debate]\t', '木\t人\t一\tNo glyph available', '一\t丨\t八\t人\t一\t口\t人']"
宣,proclaim,ㄒㄩㄢ,xuān,"{'character': '宣', 'once': ['宀', '亘'], 'radical': ['宀', '一', '日', '一'], 'graphical': ['冖', '丶', '一', '口', '一', '一']}","declare, announce, proclaim",宣布 宣傳 宣稱,ㄒㄩㄢ ㄅㄨ`  ㄒㄩㄢ ㄔㄨㄢˊ  ㄒㄩㄢ ㄔㄥ ,xuānbù xuānchuán xuānchēng,,184,969,1031,2,"['宀 [house]亘 [sun rise to sunset]\t', '宀\t一\t日\t一', '冖\t丶\t一\t口\t一\t一']"
哦,,ㄛˊ,ó,"{'character': '哦', 'once': ['口', '我'], 'radical': ['口', '手', '戈'], 'graphical': ['口', '㇒', '亅', '二', '戈']}",oh? really? is that so?,,,,,,970,2350,2,"['口 [mouth]我 [I/I-Carly]\t', '口\t手\t戈', '口\t㇒\t亅\t二\t戈']"
媽,mama,ㄇㄚ,mā,"{'character': '媽', 'once': ['女', '馬'], 'radical': ['女', '馬'], 'graphical': ['㇛', '一', '丿', '一', '二', '丨', '㇉', '灬']}","mother, mama",媽媽 舅媽,ㄇㄚ ㄇㄚ˙  ㄐㄧㄡ`ㄇㄚ ,māma jiùmā,妈,1416,971,820,2,"['女 [woman]馬 [horse]\t', '女\t馬', '㇛\t一\t丿\t一\t二\t丨\t㇉\t灬']"
均,equal,ㄐㄩㄣ,jūn,"{'character': '均', 'once': ['土', '匀'], 'radical': ['土', '勹', '亠'], 'graphical': ['一', '丨', '一', '㇆', '㇒', '一', '丶']}","equal, even, fair; all, also",平均 均衡 均勻,ㄆㄧㄥˊㄐㄩㄣ   ㄐㄩㄣ ㄏㄥˊ  ㄐㄩㄣ ㄩㄣˊ,píngjūn jūnhéng jūnyún,,148,972,920,3,"['土 [soil]匀\t', '土\t勹\t亠', '一\t丨\t一\t㇆\t㇒\t一\t丶']"
派,faction,ㄆㄞ`,pài,"{'character': '派', 'once': ['氵', 'No glyph available'], 'radical': ['氵', '⺁', '匚', 'No glyph available'], 'graphical': ['⺀', '㇀', '丿', '㇒', '一', '㇗', '冫']}","school of thought, sect, branch",黨派 派出所 派對,ㄉㄤˇㄆㄞ`  ㄆㄞ`ㄔㄨ ㄙㄨㄛˇ  ㄆㄞ`ㄉㄨㄟ`,dǎngpài pàichūsuǒ pàiduì,,610,973,789,3,"['氵 [water]\t', '氵\t⺁\t匚\tNo glyph available', '⺀\t㇀\t丿\t㇒\t一\t㇗\t冫']"
豬,pig,ㄓㄨ,zhū,"{'character': '豬', 'once': ['豕', '者'], 'radical': ['豕', '耂', '日'], 'graphical': ['一', '㇆', '㇒', '㇒', '冫', '耂', '口', '一']}","pig, hog",,,,猪,961,974,1525,4,"['豕 [sow]者 [someone/socko]\t', '豕\t耂\t日', '一\t㇆\t㇒\t㇒\t冫\t耂\t口\t一']"
齊,identical,ㄑㄧˊ,qí,"{'character': '齊', 'once': ['No glyph available', 'No glyph available'], 'radical': ['齊'], 'graphical': ['一', '丶', '卩', '丷', '丨', '丨', '二']}","even, uniform, of equal length",整齊 齊全 一齊,ㄓㄥˇㄑㄧˊ  ㄑㄧˊㄑㄩㄢˊ  ㄧ ㄑㄧˊ,zhěngqí qíquán yīqí,齐,1487,1381,500,1,"['\t', '齊', '一\t丶\t卩\t丷\t丨\t丨\t二']"
濟,relieve,ㄐㄧ`,jì,"{'character': '濟', 'once': ['氵', '齊'], 'radical': ['氵', '齊'], 'graphical': ['⺀', '㇀', '一', '丶', '卩', '丷', '丨', '丨', '二']}","to help, aid, relieve; to ferry, cross",經濟 救濟,ㄐㄧㄥ ㄐㄧ`  ㄐㄧㄡ`ㄐㄧ`,jīngjì jiùjì,济,1488,975,387,2,"['氵 [water]齊 [identical]\t', '氵\t齊', '⺀\t㇀\t一\t丶\t卩\t丷\t丨\t丨\t二']"
架,shelf,ㄐㄧㄚ`,jià,"{'character': '架', 'once': ['加', '木'], 'radical': ['力', '口', '木'], 'graphical': ['㇆', '丿', '口', '一', '丨', '八']}","rack, stand, prop; prop up",吵架 打架 書架,ㄔㄠˇㄐㄧㄚ`  ㄉㄚˇㄐㄧㄚ`  ㄕㄨ ㄐㄧㄚ`,chǎojià dǎjià shūjià,,697,976,1281,3,"['加 [add]木 [tree]\t', '力\t口\t木', '㇆\t丿\t口\t一\t丨\t八']"
享,enjoy,ㄒㄧㄤˇ,xiǎng,"{'character': '享', 'once': ['No glyph available', '子'], 'radical': ['亠', '口', '子'], 'graphical': ['一', '丶', '口', '㇇', '亅', '一']}",enjoy,享受 享有 分享,ㄒㄧㄤˇㄕㄡ`  ㄒㄧㄤˇㄧㄡˇ  ㄈㄣ ㄒㄧㄤˇ,xiǎngshòu xiǎngyǒu fēnxiǎng,,297,977,1084,1,"['子 [child]\t', '亠\t口\t子', '一\t丶\t口\t㇇\t亅\t一']"
訓,instruction,ㄒㄩㄣ`,xùn,"{'character': '訓', 'once': ['言', '川'], 'radical': ['言', '川'], 'graphical': ['一', '丶', '二', '口', '川']}","teach, instruct; exegesis",教訓 訓練 培訓,ㄐㄧㄠ`ㄒㄩㄣ˙  ㄒㄩㄣ`ㄌㄧㄢ`  ㄆㄟˊㄒㄩㄣ`,jiàoxun xùnliàn péixùn,训,325,979,1151,4,"['言 [say]川 [stream]\t', '言\t川', '一\t丶\t二\t口\t川']"
監,supervise/*webcam,ㄐㄧㄢ,jiān,"{'character': '監', 'once': ['No glyph available', '皿'], 'radical': ['臣', '丿', '一', '丶', '皿'], 'graphical': ['一', '㇗', '丨', '匚', '丿', '一', '丶', '冂', '丨', '一']}","supervise, control, direct",監視 監獄 監督,ㄐㄧㄢ ㄕ`  ㄐㄧㄢ ㄩ`  ㄐㄧㄢ ㄉㄨ ,jiānshì jiānyù jiāndū,监,1080,1567,1006,3,"['皿 [dish]\t', '臣\t丿\t一\t丶\t皿', '一\t㇗\t丨\t匚\t丿\t一\t丶\t冂\t丨\t一']"
藍,blue,ㄌㄢˊ,lán,"{'character': '藍', 'once': ['艹', '監'], 'radical': ['艹', '臣', '丿', '一', '丶', '皿'], 'graphical': ['艹', '一', '㇗', '丨', '匚', '丿', '一', '丶', '冂', '丨', '一']}",blue; indigo plant; surname,藍色,ㄌㄢˊㄙㄜ`,lánsè,蓝,1082,980,1581,4,"['艹 [flower]監 [supervise/*webcam]\t', '艹\t臣\t丿\t一\t丶\t皿', '艹\t一\t㇗\t丨\t匚\t丿\t一\t丶\t冂\t丨\t一']"
劃,scratch,ㄏㄨㄚ`,huà,"{'character': '劃', 'once': ['畫', '刂'], 'radical': ['聿', '田', '一', '刂'], 'graphical': ['匚', '一', '丨', '二', '丨', '冂', '一', '丨', '一', '一', '亅', '丨']}","divide, mark off, lay boundary",計劃 規劃 策劃,ㄐㄧ`ㄏㄨㄚ`  ㄍㄨㄟ ㄏㄨㄚ`  ㄘㄜ`ㄏㄨㄚ`,jìhuà guīhuà cèhuà,划,313,981,715,2,"['畫 [drawing]刂 [saber]\t', '聿\t田\t一\t刂', '匚\t一\t丨\t二\t丨\t冂\t一\t丨\t一\t一\t亅\t丨']"
