"hanzi","pinyin","loa","fo1","decomposition","simplified","network_level"
"人","rén","1","7","人","人","1"
"口","kǒu","2","212","口","口","1"
"的","dí dì de","3","1","白勺","的","3"
"白","bái bó","4","286","白","白","1"
"勹","bāo","5","4017","勹","勹","1"
"止","zhǐ","6","596","止","止","1"
"勺","sháo zhuó","7","3239","勹","勺","2"
"土","tǔ","8","515","土","土","1"
"木","mù","9","694","木","木","1"
"日","rì mì","10","101","日","日","1"
"又","yòu","11","126","又","又","1"
"一","yī","12","2","一","一","1"
"水","shuǐ","13","202","水","水","1"
"舌","shé guā","14","1958","干口","舌","2"
"辵","chuò","15","3998","彳止","辵","2"
"是","shì","16","3","旦止","是","3"
"手","shǒu","17","143","手","手","1"
"大","dà dài tài","18","17","大","大","1"
"刀","dāo","19","1067","刀","刀","1"
"言","yán yàn yín","20","355","舌","言","3"
"不","bù fǒu fōu","21","4","不","不","1"
"心","xīn","22","90","心","心","1"
"屮","chè cǎo","23","4017","屮","屮","1"
"目","mù","24","239","目","目","1"
"彳","chì","25","4017","彳","彳","1"
"女","nǚ rǔ","26","224","女","女","1"
"糸","mì sī","27","4017","糸","糸","1"
"儿","ér","28","192","人","儿","2"
"寸","cùn","29","1904","寸","寸","1"
"也","yě","30","31","也","也","1"
"子","zǐ zi","31","37","子","子","1"
"了","liǎo le","32","5","了","了","1"
"旦","dàn","33","1300","日","旦","2"
"干","gān gàn hán","34","353","干","干","1"
"在","zài","35","6","才土","在","2"
"有","yǒu yòu","36","8","𠂇肉","有","2"
"肉","ròu rù","37","1009","肉","肉","1"
"宀","mián","38","4017","宀","宀","1"
"囗","wéi guó","39","4017","囗","囗","1"
"力","lì","40","106","力","力","1"
"禾","hé","41","3500","禾","禾","1"
"八","bā","42","451","八","八","1"
"生","shēng","43","34","屮土","生","2"
"這","zhè yàn zhèi","44","11","辵文","这","3"
"中","zhōng zhòng","45","14","中","中","1"
"十","shí","46","112","十","十","1"
"阝","fǔ","47","4017","阜邑","阝","3"
"匕","bǐ","48","3217","匕","匕","1"
"亼","jí kǒu","49","4017","亼","亼","1"
"厂","chǎng ān hàn","50","963","厂","厂","1"
"文","wén wèn","51","148","文","文","1"
"玉","yù","52","1001","玉","玉","1"
"才","cái","53","235","才","才","1"
"犬","quǎn","54","2644","犬","犬","1"
"上","shàng shǎng","55","16","上","上","1"
"火","huǒ huō","56","433","火","火","1"
"來","lái lài","57","15","来","来","1"
"我","wǒ","58","9","我","我","1"
"和","hé hè huó huò hú","59","19","禾口","和","2"
"个","gè gě","60","12","个","个","1"
"𠂇","zuǒ","61","4017","𠂇","𠂇","1"
"攴","pū","62","3981","卜又","攴","2"
"爲","wéi wèi","63","18","为","为","1"
"地","dì de","64","21","土也","地","2"
"門","mén","65","185","门","门","1"
"工","gōng","66","118","工","工","1"
"田","tián","67","778","田","田","1"
"夕","xī xì","68","2003","夕","夕","1"
"他","tā","69","10","人也","他","2"
"以","yǐ","70","23","人","以","2"
"艸","cǎo zào","71","4016","屮","艸","2"
"卜","bǔ bo bó","72","1979","卜","卜","1"
"要","yào yāo yǎo","73","26","覀女","要","3"
"卩","jié bù","74","4017","卩","卩","1"
"到","dào","75","22","至刀","到","2"
"們","mén men","76","13","人门","们","2"
"可","kě kè","77","30","丂口","可","2"
"斤","jīn","78","1866","斤","斤","1"
"云","yún","79","692","云","云","1"
"己","jǐ","80","162","己","己","1"
"羊","yáng xiáng","81","1337","羊","羊","1"
"國","guó","82","20","囗玉","国","2"
"時","shí","83","25","日寸","时","2"
"里","lǐ","84","50","田土","里","2"
"貝","bèi","85","1133","贝","贝","1"
"出","chū","86","28","屮凵","出","2"
"就","jiù","87","27","京尤","就","3"
"主","zhǔ","88","87","主","主","1"
"見","jiàn xiàn","89","153","冂儿","见","3"
"正","zhèng zhēng","90","129","止","正","2"
"用","yòng","91","51","用","用","1"
"去","qù","92","64","去","去","1"
"冖","mì","93","4017","冖","冖","1"
"說","shuō shuì yuè tuō","94","24","言兑","说","4"
"會","huì kuài guì","95","29","亼云","会","2"
"方","fāng fēng páng wǎng","96","60","方","方","1"
"成","chéng","97","59","戌丁","成","2"
"犮","quǎn bá","98","4017","犬","犮","2"
"牛","niú","99","1018","牛","牛","1"
"廾","gǒng gòng niàn","100","4017","廾","廾","1"
"對","duì","101","33","又寸","对","2"
"月","yuè","102","169","月","月","1"
"髮","fà fǎ","103","47","犮","发","3"
"几","jī jǐ","104","211","几","几","1"
"竹","zhú","105","1588","竹","竹","1"
"阜","fù","106","3385","阜","阜","1"
"邑","yì è","107","3109","囗卩","邑","2"
"學","xué","108","66","子","学","2"
"至","zhì dié","109","267","至","至","1"
"着","zhuó zháo zhāo zhe chú zhù","110","41","羊目","着","2"
"而","ér néng","111","36","而","而","1"
"冂","jiōng táng","112","4017","冂","冂","1"
"衣","yī yì","113","725","衣","衣","1"
"于","yú wū yū","114","40","于","于","1"
"能","néng nài nái tái tài xióng","115","35","能","能","1"
"作","zuò zuō zuó","116","49","人乍","作","2"
"二","èr","117","157","二","二","1"
"示","shì qī shí zhì","118","425","示","示","1"
"史","shǐ","119","456","史","史","1"
"分","fēn fèn","120","79","八刀","分","2"
"下","xià","121","42","下","下","1"
"過","guò guo guō huò","122","46","辵寸","过","3"
"動","dòng","123","73","云力","动","2"
"本","běn","124","92","木","本","2"
"立","lì wèi","125","197","立","立","1"
"車","chē jū","126","361","车","车","1"
"多","duō","127","61","夕","多","2"
"老","lǎo","128","179","老","老","1"
"自","zì","129","43","自","自","1"
"開","kāi","130","94","廾一","开","2"
"其","qí jī","131","85","其","其","1"
"者","zhě zhū","132","103","耂曰","者","3"
"小","xiǎo","133","83","小","小","1"
"之","zhī","134","44","之","之","1"
"年","nián","135","45","年","年","1"
"夊","suī","136","4017","夊","夊","1"
"家","jiā jia jie gū","137","56","宀豕","家","2"
"得","dé děi de","138","39","彳旦寸","得","3"
"石","shí dàn","139","414","厂口","石","2"
"丂","kǎo qiǎo yú","140","4017","丂","丂","1"
"種","zhǒng zhòng chóng","141","57","禾中","种","2"
"同","tóng tòng dòng","142","69","凡口","同","2"
"京","jīng","143","566","京","京","1"
"丁","dīng zhēng","144","1168","丁","丁","1"
"走","zǒu","145","207","止","走","2"
"經","jīng jìng","146","62","糸𢀖","经","2"
"戈","gē","147","1695","戈","戈","1"
"只","zhī zhǐ","148","97","口八","只","2"
"产","chǎn","149","159","文厂","产","2"
"現","xiàn","150","70","玉见","现","4"
"各","gè gě","151","209","夊囗","各","2"
"井","jǐng","152","1431","井","井","1"
"米","mǐ","153","575","米","米","1"
"后","hòu","154","48","厂一口","后","2"
"化","huà huā","155","178","人匕","化","2"
"那","nà nǎ nèi nā né něi nuó nuò","156","38","冉阝","那","4"
"行","háng xíng hàng héng xìng","157","53","行","行","1"
"頭","tóu tou","158","147","头","头","1"
"覀","yà xī","159","4017","冖","覀","2"
"重","zhòng chóng tóng","160","140","人东土","重","2"
"合","hé gě","161","171","亼口","合","2"
"相","xiāng xiàng","162","152","木目","相","2"
"爪","zhǎo zhuǎ","163","2359","爪","爪","1"
"金","jīn jìn","164","260","亼王八","金","2"
"尢","yóu wāng","165","3979","尢","尢","1"
"入","rù","166","210","入","入","1"
"面","miàn","167","74","目","面","2"
"尤","yóu","168","1099","尢","尤","2"
"長","cháng zhǎng zhàng","169","109","长","长","1"
"所","suǒ","170","54","户斤","所","2"
"厶","sī mǒu","171","4017","厶","厶","1"
"起","qǐ","172","75","走己","起","3"
"此","cǐ","173","116","止匕","此","2"
"然","rán","174","55","肉犬火","然","2"
"巾","jīn","175","2277","巾","巾","1"
"凵","kǎn qiǎn","176","4017","凵","凵","1"
"青","qīng jīng","177","497","生丹","青","3"
"首","shǒu","178","481","首","首","1"
"都","dū dōu","179","68","者阝","都","4"
"高","gāo gào","180","134","高","高","1"
"理","lǐ","181","89","玉里","理","3"
"進","jìn","182","81","辵井","进","3"
"體","tǐ tī","183","149","人本","体","3"
"戌","xū","184","3697","戌","戌","1"
"从","cóng zòng cōng zōng","185","98","人","从","2"
"定","dìng","186","77","宀正","定","3"
"尸","shī","187","1517","尸","尸","1"
"還","huán hái xuán","188","80","辵不","还","3"
"業","yè","189","130","业","业","1"
"實","shí","190","100","宀头","实","2"
"你","nǐ","191","32","人尔","你","2"
"義","yì","192","208","义","义","1"
"艮","gèn gěn hén","193","3898","匕目","艮","2"
"如","rú","194","67","女口","如","2"
"頁","yè xié","195","1128","首儿","页","3"
"天","tiān","196","78","大","天","2"
"兌","duì ruì yuè","197","2420","㕣儿","兑","3"
"麽","mó me ma mo mǒ","198","63","么","么","1"
"寺","sì","199","1892","土寸","寺","2"
"物","wù","200","142","牛勿","物","3"
"乍","zhà zuò","201","2904","乍","乍","1"
"法","fǎ","202","65","水去","法","2"
"戶","hù","203","801","户","户","1"
"因","yīn","204","96","囗大","因","2"
"民","mín","205","113","民","民","1"
"","","206","4017","","","1"
"好","hǎo hào","207","82","女子","好","2"
"性","xìng","208","122","心生","性","3"
"殳","shū","209","3973","几又","殳","2"
"古","gǔ","210","509","十口","古","2"
"等","děng","211","158","竹寺","等","3"
"隹","zhuī cuī wéi","212","3969","隹","隹","1"
"關","guān","213","127","关","关","1"
"气","qì xì","214","217","气","气","1"
"由","yóu yāo","215","136","口","由","2"
"广","guǎng ān","216","468","广","广","1"
"仌","bīng","217","4017","仌","仌","1"
"曰","yuē","218","1656","口","曰","2"
"占","zhān zhàn","219","737","卜口","占","2"
"把","bǎ bà","220","110","手巴","把","2"
"東","dōng","221","194","东","东","1"
"部","bù pǒu","222","84","咅阝","部","4"
"樣","yàng xiàng","223","88","木羊","样","2"
"當","dāng dàng dǎng","224","71","当","当","1"
"事","shì","225","58","史","事","2"
"看","kàn kān","225","76","手目","看","2"
"足","zú jù","227","527","口止","足","2"
"馬","mǎ","228","276","马","马","1"
"及","jí","229","198","人又","及","2"
"與","yǔ yú yù","230","108","与","与","1"
"些","xiē suò sā","231","86","此二","些","3"
"前","qián","232","93","止月刀","前","2"
"申","shēn","233","1110","申","申","1"
"它","tā tuō","234","107","它","它","1"
"社","shè","235","270","示土","社","2"
"兩","liǎng liàng","236","133","两","两","1"
"彡","shān xiǎn xiān","237","3995","彡","彡","1"
"音","yīn yìn","238","540","言","音","4"
"巠","jīng xíng","239","4017","𢀖","𢀖","1"
"凡","fán","240","1013","凡","凡","1"
"沒","méi mò","241","72","水殳","没","3"
"爾","ěr","242","220","尔","尔","1"
"想","xiǎng","243","99","相心","想","3"
"豕","shǐ","244","3931","豕","豕","1"
"耂","lǎo","245","4017","老","耂","2"
"山","shān","246","259","山","山","1"
"意","yì","247","104","音心","意","5"
"三","sān sàn","248","125","三","三","1"
"間","jiān jiàn jiǎn","249","135","门日","间","2"
"次","cì","250","183","二欠","次","2"
"向","xiàng shǎng","251","146","宀口","向","2"
"耳","ěr réng","252","887","耳","耳","1"
"無","wú mó","253","105","无","无","1"
"巴","bā","254","546","巴","巴","1"
"度","dù duó","255","184","庶又","度","4"
"具","jù","256","391","目廾","具","2"
"點","diǎn duò zhān","257","128","火占","点","3"
"象","xiàng","258","300","象","象","1"
"使","shǐ shì","259","119","人吏","使","3"
"原","yuán yuàn","260","193","厂泉","原","3"
"但","dàn","261","95","人旦","但","3"
"明","míng","262","121","日月","明","2"
"且","qiě jū","263","295","且","且","1"
"全","quán","264","124","入玉","全","2"
"王","wáng wàng yù","265","299","王","王","1"
"弓","gōng","266","2225","弓","弓","1"
"道","dào dǎo","267","52","辵首","道","3"
"欠","qiàn quē","268","1948","欠","欠","1"
"制","zhì","269","163","朱刀","制","3"
"比","bǐ bì pí pǐ","270","199","匕","比","2"
"士","shì","271","372","士","士","1"
"穴","xué jué xuè","272","1940","穴","穴","1"
"情","qíng","273","120","心青","情","4"
"外","wài","274","131","夕卜","外","2"
"活","huó guō","275","219","水舌","活","3"
"加","jiā","276","166","力口","加","2"
"直","zhí","277","255","十目","直","2"
"交","jiāo","278","320","交","交","1"
"取","qǔ qū","279","323","耳又","取","2"
"斗","dǒu dòu","280","580","斗","斗","1"
"內","nèi nà","281","175","冂入","内","2"
"反","fǎn fān","282","237","厂又","反","2"
"形","xíng","283","269","开彡","形","3"
"代","dài","284","174","人弋","代","2"
"應","yīng yìng","285","144","应","应","1"
"少","shǎo shào","286","233","少","少","1"
"量","liáng liàng","287","241","日重","量","3"
"表","biǎo","288","177","衣毛","表","2"
"虫","chóng","289","1287","虫","虫","1"
"尚","shàng cháng","290","878","冂口八","尚","2"
"矢","shǐ","291","2803","矢","矢","1"
"辛","xīn","292","1463","辛","辛","1"
"展","zhǎn","293","275","尸衣","展","2"
"毛","máo mào","294","623","毛","毛","1"
"元","yuán","295","370","儿","元","3"
"乂","yì","296","4017","乂","乂","1"
"系","xì jì","297","216","糸","系","2"
"身","shēn juān yuán","298","164","身","身","1"
"新","xīn","299","161","亲斤","新","3"
"很","hěn","300","138","彳艮","很","3"
"教","jiào jiāo","301","191","攴爻子","教","3"
"每","měi mèi","302","359","母屮","每","3"
"冉","rǎn","303","3053","冉","冉","1"
"果","guǒ kè luǒ wǒ","304","165","木","果","2"
"皮","pí","305","741","又","皮","2"
"她","tā jiě","306","91","女也","她","2"
"機","jī","306","111","木几","机","2"
"平","píng","308","215","干八","平","2"
"〢","","309","4017","〢","〢","1"
"㕣","yǎn yàn","310","4017","八口","㕣","2"
"先","xiān","311","188","之儿","先","3"
"介","jiè","312","831","人〢","介","2"
"變","biàn","313","225","変又","变","2"
"更","gēng gèng","314","221","更","更","1"
"并","bìng bīng","315","141","并","并","1"
"建","jiàn","316","244","廴聿","建","2"
"弋","yì","317","3843","弋","弋","1"
"利","lì","318","155","禾刀","利","2"
"結","jié jiē jì","318","236","糸吉","结","3"
"丹","dān","320","1280","井","丹","2"
"知","zhī zhì","321","123","矢口","知","2"
"亲","qīn qìng xīn","322","362","辛木","亲","2"
"角","jiǎo jué gǔ lù","323","736","角","角","1"
"品","pǐn","324","308","口","品","2"
"問","wèn","325","137","门口","问","2"
"或","huò yù","326","160","囗戈","或","2"
"勿","wù","327","2559","刀","勿","2"
"質","zhì zhí","328","404","斤贝","质","2"
"公","gōng","329","115","八厶","公","2"
"最","zuì","330","139","冃取","最","3"
"已","yǐ","331","117","己","已","2"
"政","zhèng zhēng","332","150","正攴","政","3"
"咅","pǒu pòu","333","4017","立口","咅","2"
"資","zī zì","334","257","次贝","资","3"
"特","tè","335","173","牛寺","特","3"
"受","shòu","336","238","爪冖又","受","2"
"台","tái tāi yí","337","388","厶口","台","2"
"电","diàn","338","230","申","电","2"
"什","shí shén","339","156","人十","什","2"
"常","cháng","340","187","尚巾","常","3"
"皿","mǐn mǐng","341","3614","皿","皿","1"
"九","jiǔ","342","445","九","九","1"
"第","dì","343","114","竹弟","第","2"
"思","sī sāi sì","344","298","田心","思","2"
"專","zhuān","345","485","专","专","1"
"五","wǔ","346","279","五","五","1"
"軍","jūn","347","102","冖车","军","2"
"提","tí dī dǐ shí","347","196","手是","提","4"
"母","mǔ mú wú wǔ","349","565","女","母","2"
"解","jiě jiè xiè","350","201","刀牛角","解","2"
"員","yuán yún yùn","351","200","口贝","员","2"
"朮","shù shú zhú","352","328","术","术","1"
"通","tōng tòng","353","190","辵甬","通","3"
"四","sì","354","226","四","四","1"
"非","fēi fěi","355","283","非","非","1"
"真","zhēn","356","204","十具","真","3"
"位","wèi","357","182","人立","位","2"
"丰","fēng","358","1189","丰","丰","1"
"別","bié biè","359","222","另刀","别","3"
"必","bì","360","248","必","必","1"
"論","lùn lún","361","205","言仑","论","4"
"給","gěi jǐ xiá","362","180","糸合","给","3"
"求","qiú","363","312","求","求","1"
"回","huí","364","172","回","回","1"
"式","shì","365","303","弋工","式","2"
"則","zé","366","284","贝刀","则","2"
"條","tiáo tiāo","367","214","木攴","条","3"
"巳","sì","368","3333","巳","巳","1"
"西","xī","369","167","西","西","1"
"共","gòng gōng","370","330","廿廾","共","3"
"區","qū ōu","371","265","匚乂","区","2"
"雨","yǔ yù","372","928","雨","雨","1"
"今","jīn","373","336","亼","今","2"
"告","gào","374","310","牛口","告","2"
"聿","yù","375","3449","聿","聿","1"
"觀","guān guàn","376","334","又见","观","4"
"海","hǎi","377","189","水每","海","4"
"光","guāng","378","290","火儿","光","3"
"朱","zhū shú","379","1120","木","朱","2"
"基","jī","380","280","其土","基","2"
"令","líng lǐng lìng","381","378","亼厶","令","2"
"放","fàng fǎng","382","291","方攴","放","3"
"色","sè shǎi","383","304","人卩","色","2"
"皀","jí bī","384","4017","皀","皀","1"
"被","bèi pī bì pì","385","154","衣皮","被","3"
"期","qī jī qí","386","253","其月","期","2"
"濟","jì jǐ qí","387","360","水齐","济","2"
"認","rèn","388","213","言人","认","4"
"夬","guài","389","4017","夬","夬","1"
"完","wán","390","301","宀元","完","4"
"支","zhī","391","437","十又","支","2"
"命","mìng","392","258","亼叩","命","3"
"安","ān","393","232","宀女","安","2"
"川","chuān","394","1109","川","川","1"
"數","shù shǔ shuò cù","395","231","娄攴","数","3"
"話","huà","396","170","言舌","话","4"
"農","nóng","397","465","农","农","1"
"庶","shù","398","3000","火石","庶","3"
"級","jí","399","415","糸及","级","3"
"太","tài","400","240","大","太","2"
"乚","háo yǐ yǐn","401","4017","乚","乚","1"
"夫","fū fú","402","377","大","夫","2"
"統","tǒng","403","264","糸充","统","4"
"声","shēng","404","195","声","声","1"
"另","lìng","405","489","口力","另","2"
"世","shì","406","181","世","世","1"
"題","tí dì","407","218","是页","题","4"
"美","měi","408","151","羊大","美","2"
"路","lù luò","408","305","足各","路","3"
"歹","dǎi dāi è","410","2895","歹","歹","1"
"感","gǎn","411","243","咸心","感","3"
"林","lín","412","364","木","林","2"
"將","jiāng jiàng qiāng","413","132","爿夕寸","将","2"
"包","bāo","413","454","勹巳","包","2"
"戰","zhàn","415","145","占戈","战","3"
"革","gé jí jǐ","416","521","革","革","1"
"科","kē kè","417","277","禾斗","科","2"
"總","zǒng zōng","418","228","心","总","2"
"程","chéng","419","314","禾呈","程","4"
"指","zhǐ","420","261","手旨","指","4"
"爭","zhēng zhèng","421","344","爪","争","2"
"北","běi bèi","422","315","匕","北","2"
"打","dǎ dá","423","223","手丁","打","2"
"接","jiē","424","247","手妾","接","3"
"泉","quán","425","1641","白水","泉","2"
"做","zuò","426","246","人故","做","4"
"造","zào cāo cào","427","354","辵告","造","3"
"強","qiáng qiǎng jiàng","428","292","弓口虫","强","2"
"類","lèi lì","429","311","米大","类","2"
"任","rèn rén","430","186","人壬","任","2"
"匚","fāng","431","3954","匚","匚","1"
"場","cháng chǎng","432","249","土𠃓","场","2"
"列","liè","433","500","歹刀","列","2"
"流","liú","434","396","水㐬","流","3"
"決","jué","435","273","仌夬","决","2"
"辦","bàn","436","367","力八","办","2"
"處","chǔ chù","437","206","夊人","处","2"
"運","yùn","438","345","辵云","运","3"
"弟","dì tì tuí","439","816","弟","弟","1"
"周","zhōu","440","490","用口","周","2"
"市","shì","441","254","市","市","1"
"吏","lì","441","2307","史","吏","2"
"再","zài","443","242","再","再","1"
"甘","gān","444","1408","口","甘","2"
"治","zhì chí yí","445","274","水台","治","3"
"神","shén shēn","445","227","示申","神","2"
"件","jiàn","447","250","人牛","件","2"
"充","chōng","448","690","子儿","充","3"
"食","shí sì yì","449","671","亼皀","食","2"
"管","guǎn","450","252","竹官","管","3"
"廴","yǐn yìn","450","4017","廴","廴","1"
"風","fēng fěng fèng","452","348","几乂","风","2"
"組","zǔ qū","453","358","糸且","组","2"
"根","gēn","454","352","木艮","根","3"
"規","guī guì kuī xù","455","321","夫见","规","4"
"導","dǎo dào","456","343","巳寸","导","2"
"階","jiē","456","745","阝介","阶","4"
"改","gǎi","456","350","己攴","改","3"
"眼","yǎn wěn","459","281","目艮","眼","3"
"識","shí shi shì zhì","460","340","言只","识","4"
"七","qī","461","530","七","七","1"
"乙","yǐ","462","1872","乙","乙","1"
"甬","yǒng dòng","463","3748","甬","甬","1"
"羽","yǔ hù","464","1865","羽","羽","1"
"冃","mào","465","4017","冃","冃","1"
"步","bù","466","349","止","步","2"
"官","guān","467","432","宀𠂤","官","2"
"吉","jí","467","856","士口","吉","2"
"故","gù gǔ","469","572","古攴","故","3"
"計","jì","470","251","言十","计","4"
"卻","què","471","287","去卩","却","2"
"界","jiè","472","288","田介","界","3"
"設","shè","473","302","言殳","设","4"
"語","yǔ yù","473","493","言吾","语","4"
"䜌","luán","475","4017","変","変","1"
"單","dān shàn chán","475","389","单","单","1"
"余","yú xú","477","729","余","余","1"
"氏","shì zhī jīng","478","1500","氏","氏","1"
"便","biàn pián","479","271","人更","便","2"
"疒","nè chuáng","480","4017","疒","疒","1"
"保","bǎo","481","266","人呆","保","3"
"究","jiū jiù","482","429","穴九","究","2"
"黨","dǎng zhǎng","483","411","尚儿","党","3"
"亥","hài","484","3151","亥","亥","1"
"居","jū jī","485","678","尸古","居","3"
"傳","chuán zhuàn","486","332","人专","传","2"
"帶","dài","487","342","巾","带","2"
"名","míng","488","203","夕口","名","2"
"信","xìn shēn","489","176","人言","信","4"
"隊","duì zhuì suì","490","268","阝人","队","4"
"育","yù yō","491","609","子肉","育","2"
"張","zhāng zhàng","492","318","弓长","张","2"
"空","kōng kòng kǒng","493","272","穴工","空","2"
"叫","jiào","494","387","口丩","叫","2"
"南","nán nā","494","307","南","南","1"
"務","wù","496","245","攴力","务","3"
"研","yán yàn xíng","496","447","石开","研","3"
"難","nán nàn nuó","498","296","又隹","难","2"
"僉","qiān","498","3962","佥","佥","1"
"齊","qí zhāi jī jì jiǎn zī","500","1063","齐","齐","1"
"丩","jiū","501","4017","丩","丩","1"
"切","qiē qiè qì","502","337","七刀","切","2"
"領","lǐng","503","329","令页","领","4"
"即","jí","504","293","皀卩","即","2"
"爿","pán qiáng","505","4017","爿","爿","1"
"早","zǎo","506","462","日十","早","2"
"較","jiào jué xiào","507","491","车交","较","2"
"半","bàn","508","513","八牛","半","2"
"戔","jiān","509","3982","戈","戋","2"
"許","xū hǔ xǔ","510","263","言午","许","4"
"百","bǎi bó mò","511","407","一白","百","2"
"咸","xián","512","2521","口戌","咸","2"
"昜","yáng","513","4017","𠃓","𠃓","1"
"曾","zēng céng","514","463","曾","曾","1"
"往","wǎng wàng","515","369","彳主","往","2"
"听","tīng tìng","516","285","口斤","听","2"
"調","diào tiáo tiào zhōu","517","400","言周","调","4"
"執","zhí","518","763","手丸","执","2"
"夂","zhǐ zhōng","519","4017","人乂","夂","2"
"勞","láo lào","520","679","𫇦力","劳","2"
"花","huā","521","410","艸化","花","3"
"綫","xiàn","522","430","糸戋","线","3"
"失","shī","523","375","手乙","失","2"
"呢","ní ne","524","383","口尼","呢","3"
"邊","biān","525","316","辵力","边","3"
"侖","lún","526","2135","亼乚","仑","2"
"需","xū nuò rú ruǎn","527","408","雨而","需","2"
"確","què","528","331","石角","确","3"
"容","róng","529","442","宀谷","容","3"
"据","jù jū","530","313","手居","据","4"
"達","dá tà tì","531","289","辵大","达","3"
"住","zhù","532","309","人主","住","2"
"㫃","yǎn","533","4017","㫃","㫃","1"
"候","hòu","534","341","人侯","候","3"
"興","xīng xìng","534","531","兴","兴","1"
"收","shōu","534","351","丩攴","收","3"
"轉","zhuǎn zhuàn","537","376","车专","转","2"
"連","lián làn liǎn liàn","538","399","辵车","连","3"
"𤇾","yìng","539","4017","𫇦","𫇦","1"
"清","qīng qìng","540","335","水青","清","4"
"肖","xiāo xiào","541","2019","小肉","肖","2"
"尺","chǐ chě","542","1474","尺","尺","1"
"格","gé gē","543","325","木各","格","3"
"影","yǐng","544","390","景彡","影","3"
"書","shū","545","282","书","书","1"
"志","zhì","546","542","士心","志","2"
"极","jí","547","363","木及","极","3"
"熱","rè","547","606","火执","热","3"
"聯","lián","547","356","耳关","联","2"
"良","liáng liǎng","550","835","良","良","1"
"万","wàn mò","551","322","万","万","1"
"爻","yáo xiào","552","3909","爻","爻","1"
"束","shù","553","998","束","束","1"
"商","shāng","554","402","辛丙口","商","2"
"料","liào liáo","555","557","米斗","料","2"
"技","jì","556","422","手支","技","3"
"网","wǎng","557","605","网","网","1"
"驗","yàn","558","534","马佥","验","2"
"深","shēn","558","401","水罙","深","3"
"增","zēng","560","446","土曾","增","2"
"記","jì","561","306","言己","记","4"
"近","jìn jì","561","374","辵斤","近","3"
"舟","zhōu","563","2220","舟","舟","1"
"覺","jué jiào","564","327","见","觉","4"
"整","zhěng","565","416","敕正","整","4"
"采","cǎi cài","565","585","爪木","采","2"
"精","jīng jìng qíng","565","435","米青","精","4"
"集","jí","568","406","隹木","集","2"
"离","lí chī gǔ lǐ lì","569","418","亠冈禸","离","2"
"酉","yǒu","569","3655","酉","酉","1"
"報","bào","571","234","手卩又","报","2"
"冬","dōng","571","1384","夂仌","冬","3"
"谷","gǔ gòu nòu","573","1095","口","谷","2"
"存","cún","574","384","才子","存","2"
"價","jià jie","575","409","人介","价","3"
"响","xiǎng","576","503","口向","响","3"
"快","kuài","577","366","心夬","快","2"
"句","jù gōu","578","707","勹口","句","2"
"何","hé hē hè","579","229","人可","何","3"
"怎","zěn","579","382","乍心","怎","2"
"病","bìng","581","427","疒丙","病","2"
"圖","tú","582","476","囗冬","图","4"
"婁","lóu","583","3755","米女","娄","2"
"亡","wáng wú","584","957","刀","亡","2"
"況","kuàng","585","419","仌兄","况","4"
"例","lì","586","547","人列","例","3"
"消","xiāo","587","439","水肖","消","3"
"族","zú còu zòu","588","549","㫃矢","族","2"
"約","yuē yāo dì yào","589","424","糸勺","约","3"
"節","jié jiē","590","514","艸卩","节","3"
"構","gòu","591","511","木勾","构","3"
"滿","mǎn mèn","592","436","水艸两","满","3"
"克","kè","593","262","古儿","克","3"
"呈","chéng","593","1563","口𡈼","呈","3"
"律","lǜ","595","526","彳聿","律","2"
"拉","lā lá lǎ là","596","324","手立","拉","2"
"歷","lì","597","480","厂力","历","2"
"复","fù","598","426","夊","复","2"
"丙","bǐng","599","2641","丙","丙","1"
"𡈼","tǐng tíng zhēng zhǐ","600","4017","人土","𡈼","2"
"般","bān bǎn bō pán","601","629","舟殳","般","3"
"權","quán","602","297","木又","权","2"
"素","sù","603","661","丰糸","素","2"
"景","jǐng yǐng","604","814","日京","景","2"
"始","shǐ","605","381","女台","始","3"
"尼","ní","606","654","尸匕","尼","2"
"千","qiān","607","599","人","千","2"
"斷","duàn","608","434","米斤","断","2"
"岡","gāng","609","2047","冈","冈","1"
"師","shī","610","333","〢帀","师","2"
"際","jì","611","423","阝示","际","4"
"廿","niàn","612","3334","十","廿","2"
"積","jī","613","728","禾只","积","3"
"未","wèi","614","385","木","未","2"
"友","yǒu","614","594","𠂇又","友","2"
"央","yāng","616","799","大冂","央","2"
"吃","chī jī","616","475","口乞","吃","3"
"藝","yì","618","786","艸乙","艺","3"
"証","zhèng","618","373","言正","证","4"
"眾","zhòng","618","510","人","众","2"
"態","tài","618","528","心太","态","3"
"夭","yāo wāi wò yǎo","622","3060","夭","夭","1"
"創","chuàng chuāng","623","635","仓刀","创","3"
"紅","hóng gōng jiàng","623","502","糸工","红","2"
"牙","yá yà","625","997","牙","牙","1"
"望","wàng","626","326","亡月𡈼","望","3"
"須","xū","627","444","彡页","须","4"
"群","qún","628","570","君羊","群","4"
"該","gāi","629","319","言亥","该","4"
"㐬","liú","630","4017","子川","㐬","2"
"死","sǐ","631","317","歹匕","死","2"
"細","xì","632","597","糸田","细","2"
"㬎","xiǎn","632","469","日业","显","2"
"持","chí","632","357","手寺","持","3"
"服","fú fù bì","635","365","月卩又","服","2"
"午","wǔ","636","1004","午","午","1"
"笑","xiào","637","346","竹夭","笑","2"
"德","dé","638","256","彳𢛳","德","4"
"彑","jì","639","4017","彑","彑","1"
"黑","hēi hè","640","519","黑","黑","1"
